Replicate Type,Experiment,ASPCs,CD142-,CD142+
Biological1_fieldofview(image),S1,1.221621766,0.499203239,0.290911978
Biological1_fieldofview(image),S1,0.93813809,0.828817561,0.01085114
Biological1_fieldofview(image),S1,0.927201441,0.97764815,0.016686128
Biological1_fieldofview(image),S1,0.270501527,0.339108698,0.036551533
Biological1_fieldofview(image),S1,0.228651237,0.805824057,0.018068074
Biological1_fieldofview(image),S1,0.426169013,0.982194451,0.003401416
Biological1_fieldofview(image),S1,0.502104688,1.096028757,0.051819528
Biological1_fieldofview(image),S1,0.427485442,0.662747514,na
Biological2_fieldofview(image),S2,1.628132295,1.332843346,0.594513373
Biological2_fieldofview(image),S2,1.465282646,1.881337268,0.86740462
Biological2_fieldofview(image),S2,1.570261463,1.021062667,0.655949417
Biological2_fieldofview(image),S2,1.752577272,1.478647862,0.582493377
Biological2_fieldofview(image),S2,1.38979257,1.296366101,0.676413096
Biological2_fieldofview(image),S2,na,na,0.55362692
Biological2_fieldofview(image),S2,na,na,0.89212115
