,Total,F3-,F3+
i04,0.351686275,1.089184547,0.75787947
i04,0.482504823,1.401882018,0.403983316
i04,0.327818243,1.33218641,0.829591284
i04,0.443115464,0.809741941,0.438379227
i04,0.494777378,0.745078011,0.653901469
i04,0.445448304,1.228974182,0.81303733
i04,0.863132772,1.750539611,0.669067722
i04,0.935418083,0.889856135,0.428864289
i05,2.624709632,3.810151047,1.8555841
i05,1.41095981,4.354061049,1.161077421
i05,2.432967445,4.87954011,1.170483268
i05,2.557438734,4.720858501,0.844152298
i05,3.129826978,5.97559265,1.106326994
i05,1.645900283,4.543090457,0.702850078
i05,1.78642544,2.59627143,1.380169787
i05,2.564220183,4.803490834,1.174377707
i06,0.838900117,1.644819524,0.60333081
i06,0.643450977,1.11129916,0.260324388
i06,0.772323941,0.547838497,0.251009169
i06,0.68066919,0.671151967,0.506718229
i06,0.343845704,1.506749678,0.481438469
i06,0.653262793,0.675988316,0.160994276
i06,0.417232118,1.463796928,0.189504062
i06,0.398846427,1.774250688,0.181813716
i08,1.694130359,0.897025289,0.16879754
i08,0.546701073,0.829548406,0.558913604
i08,1.111455375,2.514938006,1.011394938
i08,1.158379617,1.952583654,0.704210173
i08,1.047745655,2.010734297,0.292595689
i08,0.560392964,1.57791575,0.445362838
i08,0.668236905,1.794507542,0.500406068
i08,0.64668057,2.653434317,0.283532407
i06_exvivo,0.821020878,0.885763333,0.515601871
i06_exvivo,1.517715895,0.753293009,0.443507056
i06_exvivo,1.160479555,1.546279782,0.803984163
i06_exvivo,0.655772731,0.87903958,1.755365046
i06_exvivo,1.153182837,2.754254014,0.895631776
i06_exvivo,1.278491454,1.585972,0.41189506
i06_exvivo,0.691137283,1.437003698,0.743891339
i07_exvivo,1.741796177,1.345698409,0.504805609
i07_exvivo,0.528828205,1.738621304,0.455811426
i07_exvivo,0.446873921,1.544305868,0.423929311
i07_exvivo,0.662015922,1.889327622,0.619773504
i07_exvivo,0.812522129,2.318356382,0.556009471
i07_exvivo,0.768008495,2.466698204,0.587024749
i07_exvivo,1.151891652,2.538477214,0.550130271
i07_exvivo,1.772069416,2.571054907,0.397953305
i07_exvivo,1.696400329,1.86647036,0.330971536
i07_exvivo,1.473120848,1.919994162,0.479538958
i07_exvivo,1.009123801,1.88309403,0.545261719
i07_exvivo,1.749494788,1.134197222,0.743964968
i07_exvivo,0.737846806,0.91314488,0.485448754
i07_exvivo,2.136450514,1.422544764,0.667384344
i07_exvivo,1.833885916,1.70270612,0.607436287
i07_exvivo,1.596602615,1.432602358,1.288202887
i07_exvivo,2.013609441,1.292835495,0.671498651
i07_exvivo,1.990507584,1.470268266,0.867973319
i07_exvivo,1.755672476,1.157299197,0.620160156
i07_exvivo,0.869163986,0.744024066,
