Sample,GeneName,F3neg,FCpvsm
i06,Hprt1,1.0,1
i06,F3,10.3,57.91068789
i06,Mgp,411.8,1618.113998
i06,Meox2,75.4,325.1716502
i06,Abcg1,6.6,11.05830995
i07,Hprt1, 1.00 ,1
i07,F3, 23.21 ,48.94932724
i07,Mgp, 881.67 ,1422.317176
i07,Meox2, 221.80 ,597.8272342
i07,Abcg1, 188.19 ,175.752785
i08,Hprt1,1, 1.00 
i08,F3,21.42042815, 35.40 
i08,Mgp,867.925544, 854.27 
i08,Meox2,75.04487132, 292.80 
i08,Abcg1,15.74890774, 24.31 
i06diff,Hprt1,1,1
i06diff,F3,0.446018366,0.444394906
i06diff,Mgp,0.532673699,0.790808334
i06diff,Pparg,0.619889516,0.569411338
i06diff,Fabp4,0.875225401,0.294951033
i07diff,Hprt1,1,1
i07diff,F3,2.571619233,2.847117095
i07diff,Mgp,5.8235103,9.730189594
i07diff,Pparg,5.09292862,0.543952615
i07diff,Fabp4,15.26893098,1.008765836
i08diff,Hprt1,1, 1.00 
i08diff,F3,4.514158992, 6.62 
i08diff,Mgp,1.193636287, 1.51 
i08diff,Pparg,0.482670082, 0.37 
i08diff,Fabp4,0.273266289, 0.07 
