,Mouse_F3neg_Human_ASCs,Mouse_Aregs_Human_ASCs
MH_Transwell,0.529357101,0.090731572
MH_Transwell,0.400050572,0.229528479
MH_Transwell,0.592991551,0.282568595
MH_Transwell,0.3137873,0.37885999
MH_Transwell,0.281136836,0.400144407
MH_Transwell,0.410726907,0.34546701
MH_Transwell,0.48922596,0.226276522
MH_Transwell,0.276538895,0.098880965
MH_Transwell,0.401420613,0.122425844
MH_Transwell,0.275619766,0.22880435
MH_Transwell,0.613327971,0.312986571
MH_Transwell,0.800721127,0.197411882
MH_Transwell,0.581323514,0.22792243
MH_Transwell,0.450111782,0.348789273
MH_Transwell,0.432542627,0.412624563
MH_Transwell,0.197927152,0.124630224
MH_Transwell,0.391940751,0.107925187
MH_Transwell,0.819302567,0.122458256
MH_Transwell,0.542742382,0.205276364
MH_Transwell,0.616194576,0.182237092
MH_Transwell,0.472589786,0.143170203
MH_Transwell,0.341088976,0.211528949
MH_Transwell,0.407072089,0.446447189
MH_Transwell,0.445509225,0.198192807
MH_Transwell,0.327072495,0.089387364
MH_Transwell,0.152882768,0.10210008
MH_Transwell,0.2704217,0.29233291
MH_Transwell,0.64831864,0.174616009
MH_Transwell,0.448973017,0.211259325
MH_Transwell,0.958637604,0.083206407
MH_Transwell,0.516679331,0.15289027
MH_Transwell,0.291901007,0.111130551
MH_Transwell,0.452454917,0.187966142
MH_Transwell,0.857417295,0.357774238
MH_Transwell,0.541560941,0.512567718
