Sample Name,2ddct
Wisp1-kd-1-1,0.34
Wisp1-kd-1-2,0.31
Wisp1-kd-2-1,0.32
Wisp1-kd-2-2,0.32
Wisp1-kd-3-1,0.37
Wisp1-kd-3-2,0.34
Wisp1-kd-4-1,0.36
Wisp1-kd-4-2,0.36
Wisp1-kd-5-1,0.4
Wisp1-kd-5-2,0.4
Wisp1-kd-6-1,0.31
Wisp1-kd-6-2,0.3
C-1,1.134586479
C-1,1.069669852
C-2,1.124408362
C-2,1.063018507
C-3,1.011269917
C-3,0.956055871
C-4,1.154418396
C-4,1.187696779
C-5,0.713095152
C-5,0.959375767
C-6,0.726566587
C-6,1.046205309
slamf9-KD-1-1,0.373
slamf9-KD-1-2,0.34
slamf9-KD-2-1,0.346637338
slamf9-KD-2-2,0.35465835
slamf9-KD-3-1,0.348806721
slamf9-KD-3-2,0.343528187
slamf9-KD-4-1,0.29432845
slamf9-KD-4-2,0.279612255
slamf9-KD-5-1,0.275762663
slamf9-KD-5-2,0.2957602
slamf9-KD-6-1,0.336691487
slamf9-KD-6-2,0.334366178
C-1,1.19
C-1,1.11
C-2,1.01
C-2,1.23
C-3,1.07
C-3,0.91
C-4,1.08
C-4,0.89
C-5,0.83
C-5,0.8
C-6,0.94
C-6,1.05
tspan11-KD-1-1,0.19
tspan11-KD-1-2,0.23
tspan11-KD-2-1,0.23
tspan11-KD-2-2,0.22
tspan11-KD-3-1,0.24
tspan11-KD-3-2,0.33
tspan11-KD-4-1,0.21
tspan11-KD-4-2,0.23
tspan11-KD-5-1,0.27
tspan11-KD-5-2,0.23
tspan11-KD-6-1,0.25
tspan11-KD-6-2,0.32
C-1,0.992690987
C-1,0.919178232
C-2,1.019891836
C-2,1.12226754
C-3,1.065416692
C-3,0.627817566
C-4,1.107583631
C-4,1.082537198
C-5,1.136357117
C-5,0.924930786
C-6,1.051476628
C-6,1.08028827
klf5-KD-1-1,0.49
klf5-KD-1-2,0.408596474
klf5-KD-2-1,0.409163531
klf5-KD-2-2,0.386288649
klf5-KD-3-1,0.469029305
klf5-KD-3-2,0.431296118
klf5-KD-4-1,0.388167223
klf5-KD-4-2,0.29560644
klf5-KD-5-1,0.31116442
klf5-KD-5-2,0.317482779
klf5-KD-6-1,0.444344598
klf5-KD-6-2,0.410299736
C-1,1.202262295
C-1,1.073818128
C-2,1.166146585
C-2,1.314716184
C-3,0.901095122
C-3,0.892391989
C-4,0.962426798
C-4,0.904849604
C-5,0.864986422
C-5,0.735985674
C-6,1.039398427
C-6,1.090319483
wfdc1-KD-1-1,0.297130096
wfdc1-KD-1-2,0.3319796
wfdc1-KD-2-1,0.341786487
wfdc1-KD-2-2,0.266677575
wfdc1-KD-3-1,0.259205296
wfdc1-KD-3-2,0.246929029
wfdc1-KD-4-1,0.270212188
wfdc1-KD-4-2,0.339425542
wfdc1-KD-5-1,0.37194674
wfdc1-KD-5-2,0.279547509
wfdc1-KD-6-1,0.185458249
wfdc1-KD-6-2,0.214368953
C-1,1.118191516
C-1,1.098980492
C-2,0.945511378
C-2,1.034667911
C-3,1.063018975
C-3,1.043309299
C-4,0.994585069
C-4,0.870047387
C-5,1.067448125
C-5,1.537053027
C-6,0.76959207
C-6,0.686421588
Angpt4-KD-1-1,0.212237268
Angpt4-KD-1-2,0.197887184
Angpt4-KD-2-1,0.217449118
Angpt4-KD-2-2,0.202185329
Angpt4-KD-3-1,0.214158435
Angpt4-KD-3-2,0.200649517
Angpt4-KD-4-1,0.209751157
Angpt4-KD-4-2,0.206004777
Angpt4-KD-5-1,0.222326413
Angpt4-KD-5-2,0.193814632
Angpt4-KD-6-1,0.210187675
Angpt4-KD-6-2,0.215200058
C-1,0.982650549
C-1,1.02651171
C-2,0.977892974
C-2,1.240353032
C-3,1.013082023
C-3,0.978571954
C-4,1.009576278
C-4,1.055370157
C-5,0.932225025
C-5,0.947206485
C-6,0.932225025
C-6,0.940010825
fmod-KD-1-1,0.262535448
fmod-KD-1-2,0.276353061
fmod-KD-2-1,0.300738877
fmod-KD-2-2,0.28098864
fmod-KD-3-1,0.274253866
fmod-KD-3-2,0.262535275
fmod-KD-4-1,0.257846625
fmod-KD-4-2,0.226499989
fmod-KD-5-1,0.277120099
fmod-KD-5-2,0.261808606
fmod-KD-6-1,0.257310619
fmod-KD-6-2,0.266754387
C-1,1.031386501
C-1,0.949067315
C-2,1.01577572
C-2,1.257522634
C-3,1.080414198
C-3,1.011560974
C-4,0.899118521
C-4,0.930825374
C-5,1.063325863
C-5,1.053057233
C-6,0.847674454
C-6,0.921197918
vit-KD-1-1,0.288688204
vit-KD-1-2,0.343310066
vit-KD-2-1,0.317006492
vit-KD-2-2,0.338348582
vit-KD-3-1,0.333459242
vit-KD-3-2,0.347620173
vit-KD-4-1,0.278661089
vit-KD-4-2,0.300322449
vit-KD-5-1,0.394086291
vit-KD-5-2,0.266200362
vit-KD-6-1,0.350038118
vit-KD-6-2,0.30962286
C-1,0.996253449
C-1,1.267146152
C-2,1.078916027
C-2,1.37514607
C-3,0.994872748
C-3,1.180651887
C-4,0.810892136
C-4,0.722255961
C-5,0.785990488
C-5,1.005966841
C-6,1.029956315
C-6,0.953023462
mamdc2-KD-1-1,0.521775355
mamdc2-KD-1-2,0.520330451
mamdc2-KD-2-1,0.474506786
mamdc2-KD-2-2,0.475493978
mamdc2-KD-3-1,0.620928564
mamdc2-KD-3-2,0.654062301
mamdc2-KD-4-1,0.557676516
mamdc2-KD-4-2,0.524312819
mamdc2-KD-5-1,0.454861979
mamdc2-KD-5-2,0.446428575
mamdc2-KD-6-1,0.546578682
mamdc2-KD-6-2,0.543556053
C-1,1.195406098
C-1,1.240997109
C-2,0.908462578
C-2,1.304502997
C-3,1.016423443
C-3,0.912882364
C-4,0.879953665
C-4,0.985890293
C-5,0.95296771
C-5,0.949013572
C-6,0.912881157
C-6,0.855891875
Ndufa4l2-KD-1-1,0.51
Ndufa4l2-KD-1-2,0.49
Ndufa4l2-KD-2-1,0.43
Ndufa4l2-KD-2-2,0.51
Ndufa4l2-KD-3-1,0.39
Ndufa4l2-KD-3-2,0.38
Ndufa4l2-KD-4-1,0.61
Ndufa4l2-KD-4-2,0.59
Ndufa4l2-KD-5-1,0.49
Ndufa4l2-KD-5-2,0.51
Ndufa4l2-KD-6-1,0.5
Ndufa4l2-KD-6-2,0.47
C-1,1.143072342
C-1,1.198238918
C-2,1.056224412
C-2,0.848458738
C-3,0.71099792
C-3,0.882651366
C-4,1.204068503
C-4,1.117997625
C-5,0.887560236
C-5,1.002023384
C-6,1.032339394
C-6,1.050384091
Dner-KD-1-1,0.47
Dner-KD-1-2,0.44
Dner-KD-2-1,0.34
Dner-KD-2-2,0.31
Dner-KD-3-1,0.35
Dner-KD-3-2,0.31
Dner-KD-4-1,0.43
Dner-KD-4-2,0.41
Dner-KD-5-1,0.29
Dner-KD-5-2,0.39
Dner-KD-6-1,0.4
Dner-KD-6-2,0.4
C-1,1.101397194
C-1,1.182083717
C-2,1.077981779
C-2,0.881682957
C-3,0.815826499
C-3,1.117544933
C-4,0.925518337
C-4,0.79077123
C-5,1.160167969
C-5,1.058729271
C-6,0.912144042
C-6,1.080975938
