Experiment,Cntrl,Fgf12,Rtp3,Spink2,Vit
exp1,0.1028,0.1622,0.1997,0.1326,0.164
exp1,0.1331,0.1586,0.1916,0.1283,0.1815
exp1,0.1122,0.178,0.211,0.1326,0.2106
exp1,0.09327,0.1478,0.2025,0.1375,0.1905
exp2,0.1436,0.1749,0.2054,0.1971,0.206
exp2,0.1133,0.1953,0.1999,0.1719,0.2082
exp2,0.1058,0.1852,0.1735,0.1464,0.1841
exp3,0.1037,0.1285,0.1608,0.1487,
exp3,0.0998,0.1227,0.1584,0.1498,
exp3,0.0942,0.1658,0.1973,0.1621,
exp3,0.1084,0.1428,0.1695,0.1634,
exp4,0.08848,0.1183,0.1446,0.1507,
exp4,0.08693,0.1304,0.1392,0.123,
exp4,0.07878,0.1287,0.1671,0.1349,
exp4,0.06876,0.1267,0.1652,0.1507,
exp5,0.1673,,,,0.1988
exp5,0.1472,,,,0.2083
exp5,0.1266,,,,0.2187
exp5,0.1402,,,,0.1886
exp5,0.177,,,,0.2064
exp5,0.1281,,,,0.201
