Experiment,Sample_ID,Name,Sample,Date,Cocktail,Nuclei,Differentiation
Exp1,S1,Control,c-1,200517,Full,8086,0.2303
Exp1,S1,Control,c-2,200517,Full,8126,0.2446
Exp1,S1,Control,c-3,200517,Full,7886,0.2707
Exp1,S2,Control,c-4,200517,Full,8130,0.2545
Exp1,S2,Control,c-5,200517,Full,7850,0.2789
Exp1,S2,Control,c-6,200517,Full,8024,0.2564
Exp1,S3,Hhip,hhip-KD-1,200517,Full,8688,0.1336
Exp1,S3,Hhip,hhip-KD-2,200517,Full,8531,0.09917
Exp1,S3,Hhip,hhip-KD-3,200517,Full,8674,0.1348
Exp1,S4,Hhip,hhip-KD-4,200517,Full,8486,0.1312
Exp1,S4,Hhip,hhip-KD-5,200517,Full,8190,0.1857
Exp1,S4,Hhip,hhip-KD-6,200517,Full,8422,0.1722
Exp1,S5,Tspan11,Tspan11-KD-1,200517,Full,8150,0.4046
Exp1,S5,Tspan11,Tspan11-KD-2,200517,Full,9106,0.3459
Exp1,S5,Tspan11,Tspan11-KD-3,200517,Full,8808,0.3396
Exp1,S6,Tspan11,Tspan11-KD-4,200517,Full,8652,0.2486
Exp1,S6,Tspan11,Tspan11-KD-5,200517,Full,8533,0.2581
Exp1,S6,Tspan11,Tspan11-KD-6,200517,Full,8363,0.2241
Exp1,S7,Wisp1,Wisp1-KD-1,200517,Full,7689,0.36
Exp1,S7,Wisp1,Wisp1-KD-2,200517,Full,7632,0.2602
Exp1,S7,Wisp1,Wisp1-KD-3,200517,Full,7754,0.3732
Exp1,S8,Wisp1,Wisp1-KD-4,200517,Full,7703,0.3229
Exp1,S8,Wisp1,Wisp1-KD-5,200517,Full,7682,0.3215
Exp1,S8,Wisp1,Wisp1-KD-6,200517,Full,7938,0.2832
Exp2,S9,Control,c-1,230617,Half,12279,0.03534
Exp2,S9,Control,c-2,230617,Half,13303,0.0421
Exp2,S9,Control,c-3,230617,Half,13147,0.05416
Exp2,S10,Control,c-4,230617,Half,12137,0.04556
Exp2,S10,Control,c-5,230617,Half,13769,0.0398
Exp2,S10,Control,c-6,230617,Half,12351,0.05781
Exp2,S11,Slamf9,slamf9-KD-1,230617,Half,13712,0.05368
