Experiment,Cntrl,Fgf12,Rtp3,Spink2,Vit
exp1,6555,6392,7134,6461,3134
exp1,6189,7495,6169,5736,3201
exp1,6343,6876,6136,6035,3576
exp1,6304,6812,6025,5622,2798
exp2,7172,9006,6538,8187,3122
exp2,6496,8298,6902,6764,3185
exp2,7315,8379,6802,6921,3482
exp3,7878,7363,7654,7473,
exp3,7986,7595,8132,7212,
exp3,7675,7312,7551,6682,
exp3,7679,7457,7887,7007,
exp4,8036,8230,7683,8487,
exp4,7834,8423,8549,8083,
exp4,7692,7966,7929,7783,
exp4,7868,7421,7344,6906,
exp5,4173,,,,4674
exp5,4756,,,,4744
exp5,5791,,,,4887
exp5,5904,,,,5032
exp5,4904,,,,4743
exp5,4474,,,,4035
