Type,genes,Plus,Minus,FC
CD55,Cebpa,1.667154916,1.018001347,1.64
CD55,Cebpb,0.950460076,1.001666313,0.95
CD55,Leptin,2.965738417,1.169569437,2.54
CD55,Pparg,2.40222215,1.031868415,2.33
CD55,AdipoQ,2.016685181,1.048495099,1.92
CD55,Ap2,2.450732078,1.052516807,2.33
CD55,CD36,2.57328279,1.054580118,2.44
CD55,Fasn,2.326587345,1.041463262,2.23
AOC3,Cebpa,0.540812302,1.050062237,0.52
AOC3,Cebpb,3.786558163,1.019516089,3.71
AOC3,Leptin,0.727108843,1.078691682,0.67
AOC3,Pparg,0.923660766,1.046942228,0.88
AOC3,AdipoQ,0.072440934,1.021730576,0.07
AOC3,Ap2,0.828973204,1.056197704,0.78
AOC3,CD36,2.116804976,1.09053349,1.94
AOC3,Fasn,0.080734852,1.027070522,0.08
F3ABCG1,Cebpa,1.04156243,9.114019816,0.11
F3ABCG1,Cebpb,1.027810066,1.727970687,0.59
F3ABCG1,Leptin,1.094886051,9.881842751,0.11
F3ABCG1,Pparg,1.093315537,24.48655427,0.04
F3ABCG1,AdipoQ,1.091489024,19.92699231,0.05
F3ABCG1,Ap2,1.071527263,28.7324912,0.04
F3ABCG1,CD36,1.103355226,26.38577888,0.04
F3ABCG1,Fasn,1.033272908,11.18040318,0.09
F3,Cebpa,1.008116418,4.728332892,0.213207581
F3,Cebpb,1.010180045,1.803696266,0.560061061
F3,Leptin,1.036536243,3.015648412,0.343719194
F3,Pparg,1.011509691,8.261552675,0.122435785
F3,AdipoQ,1.012999718,6.221788485,0.162814876
F3,Ap2,1.005953209,13.73294653,0.073251083
F3,CD36,1.009508817,9.879748252,0.102179609
F3,Fasn,1.013079627,5.852596296,0.173099181
