,rel 1,rel 2,rel 3,rel 4,rel 5,rel 6
SVFpP3,0.340540541,0.35678392,0.343283582,0.466292135,,
SVFpP3,0.347150259,0.404878049,0.213815789,0.335227273,,
SVFpP3,0.387254902,0.323170732,0.322147651,0.316831683,,
SVFmP3,0.505434783,0.470588235,0.464435146,0.462857143,,
SVFmP3,0.435897436,0.433962264,0.423913043,0.415929204,,
SVFmP3,0.426966292,0.452471483,0.272357724,0.467336683,,
ASPC,0.021780303,0.025553663,0.036729858,0.024704619,0.033391916,0.038341969
ASPC,0.002320186,0.085889571,0.043147208,0.004672897,0.015189873,0.142361111
ASPC,0.077389985,0.076069731,0.07922272,0.106418919,0.039473684,0.096625767
ASPC,0.081272085,0.080779944,0.185520362,0,0.073770492,0.18
ASPC,0.002747253,0.145728643,0.005291005,0.153465347,0.005141388,0.072727273
ASPC,0.00239521,0.00122549,0.002503129,0.001150748,0.002164502,0.006688963
ASPC,0.133757962,0.18490566,0.193548387,0.192810458,0.259459459,0.215753425
ASPCmP3,0.552870091,0.904320988,0.518987342,0.761403509,0.740890688,0.486486486
ASPCmP3,0.285714286,0.287197232,0.355353075,0.337142857,0.342364532,0.319838057
ASPCmP3,0.097493036,0.198324022,0.100208768,0.176724138,0.12,0.120162933
ASPCmP3,0.163265306,0.284916201,0.099431818,0.187817259,0.53125,0.53256705
ASPCmP3,0.963917526,0.929319372,0.898245614,0.922879177,0.872180451,0.91202346
ASPCmP3,0.5,0.470338983,0.441340782,0.37628866,0.361111111,0.327014218
ASPCmP3,0.756097561,0.651639344,0.578616352,0.699115044,0.090452261,0.380487805
