Sample,Rep,2ddct
ctrl-1,brep1,0.907
ctrl-1,brep1,0.763
ctrl-2,brep1,0.905
ctrl-2,brep1,0.811
ctrl-3,brep2,0.957
ctrl-3,brep2,1.166
ctrl-4,brep2,0.987
ctrl-4,brep2,1.153
ctrl-5,brep3,1.512
ctrl-5,brep3,1.232
ctrl-6,brep3,0.926
ctrl-6,brep3,0.901
fgf12-kd-1,brep1,0.292
fgf12-kd-1,brep1,0.208338346
fgf12-kd-2,brep1,0.281654763
fgf12-kd-2,brep1,0.328507883
fgf12-kd-3,brep2,0.233419964
fgf12-kd-3,brep2,0.202922692
fgf12-kd-4,brep2,0.253314207
fgf12-kd-4,brep2,0.208338621
fgf12-kd-5,brep3,0.184539194
fgf12-kd-5,brep3,0.25613932
fgf12-kd-6,brep3,0.22468901
fgf12-kd-6,brep3,0.10995609
ctrl-1,brep1,0.780516741
ctrl-1,brep1,0.789768471
ctrl-2,brep1,2.042732174
ctrl-2,brep1,1.887530718
ctrl-3,brep2,1.025623043
ctrl-3,brep2,0.993437461
ctrl-4,brep2,0.851158416
ctrl-4,brep2,0.822735036
ctrl-5,brep3,0.949670282
ctrl-5,brep3,0.941804475
ctrl-6,brep3,0.847625594
ctrl-6,brep3,0.777814754
rtp3-kd-1,brep1,0.290880762
rtp3-kd-1,brep1,0.341391889
rtp3-kd-2,brep1,0.265080218
rtp3-kd-2,brep1,0.370745264
rtp3-kd-3,brep2,0.311542463
rtp3-kd-3,brep2,0.290880762
rtp3-kd-4,brep2,0.26197494
rtp3-kd-4,brep2,0.355642761
rtp3-kd-5,brep3,0.296992926
rtp3-kd-5,brep3,0.256939882
rtp3-kd-6,brep3,0.561166092
rtp3-kd-6,brep3,0.450468584
ctrl-1,brep1,0.707761321
ctrl-1,brep1,1.262544213
ctrl-2,brep1,1.142609875
ctrl-2,brep1,1.101396102
ctrl-3,brep2,1.081725419
ctrl-3,brep2,1.042706361
ctrl-4,brep2,1.145782028
ctrl-4,brep2,1.147372164
ctrl-5,brep3,0.917851663
ctrl-5,brep3,0.890280766
ctrl-6,brep3,0.744494385
ctrl-6,brep3,0.985777228
spink2-kd-1,brep1,0.140
spink2-kd-1,brep1,0.146
spink2-kd-2,brep1,0.107
spink2-kd-2,brep1,0.064
spink2-kd-3,brep2,0.041
spink2-kd-3,brep2,0.039
spink2-kd-4,brep2,0.065
spink2-kd-4,brep2,0.046
spink2-kd-5,brep3,0.027
spink2-kd-5,brep3,0.039
spink2-kd-6,brep3,0.021
spink2-kd-6,brep3,0.110
ctrl-1,brep1,0.888637698
ctrl-1,brep1,1.147637274
ctrl-2,brep1,1.120906806
ctrl-2,brep1,1.07599123
ctrl-3,brep2,0.957050927
ctrl-3,brep2,0.746216643
ctrl-4,brep2,1.107008796
ctrl-4,brep2,1.110851406
ctrl-5,brep3,1.029302577
ctrl-5,brep3,0.967053084
ctrl-6,brep3,0.829128071
ctrl-6,brep3,1.121683601
vit-kd-1,brep1,0.160391316
vit-kd-1,brep1,0.134499082
vit-kd-2,brep1,0.161955118
vit-kd-2,brep1,0.175393324
vit-kd-3,brep2,0.141185713
vit-kd-3,brep2,0.105452733
vit-kd-4,brep2,0.108718331
vit-kd-4,brep2,0.162179882
vit-kd-5,brep3,0.125579014
vit-kd-5,brep3,0.157417256
vit-kd-6,brep3,0.106333318
vit-kd-6,brep3,0.092248272
