,DN,QN,DNDP
human2,1.741796177,1.345698409,0.504805609
human2,0.528828205,1.738621304,0.455811426
human2,0.446873921,1.544305868,0.423929311
human2,0.662015922,1.889327622,0.619773504
human2,0.812522129,2.318356382,0.556009471
human2,0.768008495,2.466698204,0.587024749
human2,1.151891652,2.538477214,0.550130271
human2,1.772069416,2.571054907,0.397953305
human2,1.696400329,1.86647036,0.330971536
human2,1.473120848,1.919994162,0.479538958
human2,1.009123801,1.88309403,0.545261719
human2,1.749494788,1.134197222,0.743964968
human2,0.737846806,0.91314488,0.485448754
human2,2.136450514,1.422544764,0.667384344
human2,1.833885916,1.70270612,0.607436287
human2,1.596602615,1.432602358,1.288202887
human2,2.013609441,1.292835495,0.671498651
human2,1.990507584,1.470268266,0.867973319
human2,1.755672476,1.157299197,0.620160156
human2,0.869163986,0.744024066,
